row ID,Molecule,Molecule name,Mannhold LogP,Atomic Polarizabilities,Aromatic Atoms Count,Aromatic Bonds Count,Element Count,Bond Polarizabilities,Bond Count,Eccentric Connectivity Index,Fragment Complexity,VABC Volume Descriptor,Hydrogen Bond Acceptors,Hydrogen Bond Donors,Largest Chain,Largest Pi Chain,Petitjean Number,Rotatable Bonds Count,Lipinski's Rule of Five,Topological Polar Surface Area,Vertex adjacency information magnitude,Molecular Weight,XLogP,Zagreb Index,Molecular Formula,Formal Charge,Formal Charge (pos),Formal Charge (neg),Heavy Atoms Count,Molar Mass,SP3 Character,Rotatable Bonds Count (non terminal)
Row10031,O=C(O[C@H]1[C@@H](Oc2cc(O)cc(c2C1)O)c3cc(O)c(O)c(c3)O)c4cc(O)c(O)c(c4)O,C22H18O11,2.67,59.544274,18,18,51,24.467726,36,729,1860.11,377.27019236484,2,8,3,12,0.461538461538462,12,1,197.37,6.16992500144231,458.084911396,3.581,180,C22H18O11,0,0,0,33,458.372577501464,0.0588235294117647,4
Row10032,O[C@]1([C@@H]([C@@]2([C@H](C(CCC2)(C)C)CC1)C)CC[C@@](O)(C=C)C)C,C20H36O2,3.44,60.808548,0,0,58,39.355452,23,324,3019.02,344.707228516858,2,2,5,2,0.444444444444444,11,1,40.46,5.52356195605701,308.271530392001,5.989,122,C20H36O2,0,0,0,22,308.499394928627,0.310344827586207,4
Row10033,O1c2c(ccc(c2)O)C[C@@H]([C@H]1c3ccc(O)cc3)O,C15H14O4,2.67,38.943102,12,12,33,17.220898,21,317,883.04,228.469006583845,1,3,0,8,0.5,4,0,69.92,5.39231742277876,258.089208928,2.112,102,C15H14O4,0,0,0,19,258.269828715659,0.0909090909090909,1
Row10034,Clc1ccc(C(c2ccccc2)C3N4CCC(C3O)CC4)cc1,C20H22NOCl,3.33,53.951446,12,12,45,26.450554,26,371,1798.03,302.429618889296,2,1,0,6,0.444444444444444,5,0,23.47,5.70043971814109,327.138992004001,3.936,126,C20H22ClNO,0,0,0,23,327.848460232717,0.177777777777778,3
Row10035,Clc1c(F)ccc(c1)C(=O)N2CCC(F)(CNCc3ncc(C)cn3)CC2,C19H21N4OClF2,2.67,55.938653,12,12,48,32.021347,29,741,1798.08,339.979032588542,5,1,3,9,0.470588235294118,9,0,58.12,5.85798099512757,394.137195412001,2.678,140,C19H21ClF2N4O,0,0,0,27,394.846699643211,0.166666666666667,5
Row10036,Clc1cnn(c1)CCCCN2CCN(c3ncccn3)CC2,C15H21N6Cl,2.34,49.182653,11,11,43,31.957347,24,556,1563.07,277.136187501834,5,0,4,7,0.466666666666667,7,0,50.08,5.58496250072116,320.151622352001,2.109,110,C15H21ClN6,0,0,0,22,320.820951102562,0.186046511627907,6
Row10037,O=C1N(C(=O)CC1)CC2CN3C(CN(c4ncccn4)CC3)CC2,C17H23N5O2,2.56,52.360239,6,6,47,35.639761,27,539,1948.07,301.64432347529,7,0,0,7,0.461538461538462,3,0,69.64,5.75488750216347,329.185174976001,0.166,130,C17H23N5O2,0,0,0,24,329.397473473708,0.234042553191489,3
Row10038,O=C(NC(C)C)c1c2c(OC[C@@H](C2)N(C(C)C)CCC)ccc1,C19H30N2O2,3.11,57.24779,6,6,53,38.31021,24,396,2410.04,330.595388204924,3,1,6,10,0.454545454545455,11,0,41.57,5.58496250072116,318.230728200001,3.625,114,C19H30N2O2,0,0,0,23,318.454420922956,0.226415094339623,6
Row10039,Clc1c(Cl)ccc(c1)C(C(=O)OC)C2NCCCC2,C14H17NO2Cl2,2.45,43.039481,6,6,36,22.958519,20,273,1027.05,263.540840408289,3,1,4,6,0.444444444444444,7,0,38.33,5.32192809488736,301.063634144,3.749,94,C14H17Cl2NO2,0,0,0,19,302.196683588613,0.194444444444444,4
Row10040,S1(=O)(=O)N(C(=O)c2c1cccc2)CCCCNC[C@@H]3Oc4c(cccc4)CC3,C21H24N2O4S,3,61.271032,12,12,52,38.226968,31,799,2269.07,357.75454141138,5,1,6,12,0.5,7,0,84.09,5.95419631038688,400.145678248001,2.892,150,C21H24N2O4S,0,0,0,28,400.493143041755,0.153846153846154,7
Row10041,ClC=1N(C(=O)c2ccccc2OC1)CCCCN3CC=C(c4ncccc4)CC3,C23H24N3O2Cl,3.33,63.567032,12,12,53,34.810968,32,854,2324.06,377.191943781391,4,0,4,12,0.470588235294118,7,0,45.67,6,409.155704688001,3.701,150,C23H24ClN3O2,0,0,0,29,409.909360772374,0.132075471698113,6
